h3,pop,kab
86650d437ffffff,29640.0,485
86650d447ffffff,50389.0,485
86650d44fffffff,45379.0,485
86650d457ffffff,277262.0,490
86650d45fffffff,194452.0,490
86650d467ffffff,17038.0,485
86650d46fffffff,11516.0,485
86650d477ffffff,76024.0,485
86650d487ffffff,16702.0,485
86650d48fffffff,43619.0,485
86650d49fffffff,1156.0,485
86650d4a7ffffff,59347.0,485
86650d4afffffff,86267.0,485
86650d4b7ffffff,45526.0,485
86650d4c7ffffff,417102.0,490
86650d4cfffffff,108601.0,485
86650d4d7ffffff,156001.0,485
86650d4dfffffff,275861.0,490
86650d4e7ffffff,456702.0,490
86650d4efffffff,453948.0,490
86650d4f7ffffff,153115.0,485
86650d507ffffff,13866.0,485
86650d50fffffff,13955.0,485
86650d517ffffff,10853.0,509
86650d51fffffff,43755.0,485
86650d527ffffff,11258.0,509
86650d52fffffff,8089.0,509
86650d537ffffff,6120.0,509
86650d547ffffff,5281.0,485
86650d54fffffff,11662.0,485
86650d557ffffff,6596.0,485
86650d55fffffff,27235.0,485
86650d567ffffff,3742.0,485
86650d56fffffff,6570.0,485
86650d577ffffff,7183.0,485
86650d587ffffff,42341.0,509
86650d58fffffff,83407.0,485
86650d597ffffff,27641.0,509
86650d59fffffff,40432.0,485
86650d5a7ffffff,20006.0,509
86650d5afffffff,25748.0,485
86650d5b7ffffff,25847.0,509
86650d607ffffff,9089.0,499
86650d60fffffff,7122.0,499
86650d617ffffff,22737.0,499
86650d61fffffff,6416.0,499
86650d627ffffff,11225.0,499
86650d62fffffff,12004.0,499
86650d637ffffff,26545.0,499
86650d647ffffff,14039.0,499
86650d64fffffff,7857.0,499
86650d657ffffff,3368.0,499
86650d65fffffff,4641.0,499
86650d667ffffff,7633.0,499
86650d66fffffff,1621.0,499
86650d677ffffff,9113.0,499
86650d687ffffff,10885.0,499
86650d68fffffff,8542.0,499
86650d697ffffff,47146.0,499
86650d69fffffff,9642.0,499
86650d6a7ffffff,19632.0,499
86650d6afffffff,11415.0,499
86650d6b7ffffff,27284.0,499
86650d6c7ffffff,892.0,499
86650d6cfffffff,5860.0,499
86650d6d7ffffff,4173.0,499
86650d6dfffffff,6391.0,499
86650d6e7ffffff,2234.0,499
86650d6efffffff,2868.0,499
86650d6f7ffffff,5473.0,499
86650d707ffffff,5099.0,499
86650d70fffffff,3443.0,499
86650d717ffffff,19974.0,499
86650d71fffffff,9363.0,499
86650d727ffffff,3836.0,499
86650d72fffffff,2031.0,499
86650d737ffffff,12644.0,485
86650d747ffffff,2134.0,499
86650d74fffffff,5351.0,499
86650d757ffffff,4563.0,499
86650d75fffffff,3174.0,499
86650d767ffffff,885.0,499
86650d76fffffff,788.0,499
86650d777ffffff,1553.0,499
86650d787ffffff,136337.0,488
86650d78fffffff,111537.0,499
86650d797ffffff,35216.0,485
86650d79fffffff,142927.0,488
86650d7a7ffffff,52643.0,485
86650d7afffffff,32152.0,488
86650d7b7ffffff,150552.0,485
86650d807ffffff,1949.0,508
86650d817ffffff,5241.0,510
86650d81fffffff,151.0,510
86650d827ffffff,1878.0,508
86650d82fffffff,5469.0,508
86650d837ffffff,626.0,508
86650d847ffffff,15.0,484
86650d84fffffff,6056.0,484
86650d857ffffff,1.0,508
86650d85fffffff,821.0,484
86650d867ffffff,498.0,508
86650d86fffffff,276.0,484
86650d877ffffff,54.0,508
86650d887ffffff,5445.0,510
86650d88fffffff,7147.0,510
86650d897ffffff,5883.0,510
86650d89fffffff,1145.0,510
86650d8a7ffffff,4817.0,510
86650d8afffffff,7971.0,510
86650d8b7ffffff,6392.0,510
86650d8c7ffffff,1554.0,510
86650d8cfffffff,3652.0,487
86650d8d7ffffff,7442.0,510
86650d8dfffffff,10094.0,510
86650d8efffffff,1.0,484
86650d8f7ffffff,3923.0,510
86650d907ffffff,3166.0,508
86650d90fffffff,1837.0,508
86650d917ffffff,439.0,510
86650d91fffffff,1812.0,508
86650d927ffffff,1833.0,508
86650d92fffffff,2751.0,508
86650d937ffffff,1779.0,514
86650d947ffffff,7810.0,508
86650d94fffffff,4164.0,508
86650d957ffffff,8301.0,508
86650d95fffffff,847.0,508
86650d967ffffff,5364.0,508
86650d96fffffff,2876.0,508
86650d977ffffff,6563.0,508
86650d987ffffff,3310.0,510
86650d98fffffff,6402.0,510
86650d997ffffff,12240.0,510
86650d99fffffff,10174.0,510
86650d9a7ffffff,2162.0,510
86650d9afffffff,1614.0,510
86650d9b7ffffff,4512.0,510
86650da07ffffff,18261.0,484
86650da0fffffff,12511.0,484
86650da17ffffff,6710.0,484
86650da1fffffff,9911.0,484
86650da27ffffff,34074.0,484
86650da2fffffff,5917.0,484
86650da37ffffff,14689.0,484
86650da47ffffff,5.0,507
86650da4fffffff,86.0,18
86650da57ffffff,8347.0,484
86650da5fffffff,1066.0,18
86650da67ffffff,418.0,507
86650da6fffffff,119.0,18
86650da77ffffff,217.0,507
86650da87ffffff,831.0,484
86650da8fffffff,872.0,487
86650da97ffffff,2039.0,487
86650da9fffffff,3500.0,487
86650daa7ffffff,927.0,484
86650daafffffff,3224.0,484
86650dac7ffffff,8405.0,484
86650dacfffffff,2636.0,484
86650dad7ffffff,4007.0,484
86650dadfffffff,5453.0,484
86650dae7ffffff,9433.0,484
86650daefffffff,15184.0,484
86650daf7ffffff,10827.0,484
86650db07ffffff,3010.0,484
86650db0fffffff,2820.0,507
86650db17ffffff,15642.0,484
86650db1fffffff,22526.0,484
86650db27ffffff,648.0,484
86650db2fffffff,381.0,507
86650db37ffffff,8761.0,484
86650db47ffffff,2014.0,507
86650db4fffffff,339.0,507
86650db57ffffff,690.0,507
86650db5fffffff,449.0,507
86650db67ffffff,869.0,507
86650db6fffffff,48.0,507
86650db77ffffff,2292.0,507
86650db87ffffff,3402.0,484
86650db8fffffff,11893.0,484
86650db97ffffff,1858.0,487
86650db9fffffff,635.0,484
86650dba7ffffff,6558.0,484
86650dbafffffff,16127.0,484
86650dbb7ffffff,3186.0,484
86650dc07ffffff,6448.0,509
86650dc0fffffff,4029.0,510
86650dc17ffffff,6616.0,509
86650dc1fffffff,3496.0,510
86650dc27ffffff,3522.0,509
86650dc2fffffff,818.0,510
86650dc37ffffff,9520.0,510
86650dc47ffffff,448.0,510
86650dc4fffffff,229.0,510
86650dc57ffffff,1997.0,510
86650dc5fffffff,1102.0,510
86650dc67ffffff,3791.0,510
86650dc6fffffff,702.0,510
86650dc77ffffff,761.0,510
86650dc87ffffff,5660.0,509
86650dc8fffffff,10621.0,509
86650dc97ffffff,13388.0,509
86650dc9fffffff,14269.0,509
86650dca7ffffff,6134.0,509
86650dcafffffff,4934.0,509
86650dcb7ffffff,10638.0,509
86650dcc7ffffff,669.0,510
